"species","sla","ldmc","lnc_m","lpc_m"
"KOELERIA GLAUCA",13.11,360,21.4,2.5
"KOELERIA MACRANTHA",12.18423077,354.2727273,18.435,1.295435739
"KOELERIA VALLESIANA",10.76061953,352.8139572,22.05865385,1.255
"LABURNUM ANAGYROIDES",17.79,278.78,34.07769231,1.791065179
"LAMIUM GALEOBDOLON",30.88916667,270,33.60153846,4.512259775
"LAMIUM MACULATUM",33.33384615,193.5,29.79666667,2.54483298
"LARIX DECIDUA",9.470454545,377.5294118,19.97191011,1.789306988
"LASERPITIUM LATIFOLIUM",12.12444444,249.716,25.8875,1.71375
"LATHYRUS PRATENSIS",24.30673469,314.8353846,36.88142857,1.877967488
"LATHYRUS VERNUS",41.255,196.56125,34.93333333,4.48
"LAVANDULA STOECHAS",11.71333333,340,13.936,0.943741111
"LEONTODON CRISPUS",25.32,140,16.58,1.73
"LEONTODON HISPIDUS",26.21357548,142.9550752,22.9345679,1.949192674
"LEONTODON SAXATILIS",20.344,167.5,22.43666667,1.516
"LEPIDIUM DENSIFLORUM",47.89,120,32.005,2.907215592
"LEPIDIUM LATIFOLIUM",15.80666667,163.8525,41.15,2.995
"LEUCANTHEMUM VULGARE",17.95872883,151.513775,20.18369146,1.791537893
"LIGUSTRUM VULGARE",10.95055556,372.7777778,16.19,1.069035354
"LIMONIUM NARBONENSE",10.03170646,204.2918922,29.04149294,1.993995726
"LINARIA VULGARIS",26.45294118,195.0689655,17.89333333,1.46
"LINUM CATHARTICUM",29.77565217,216.6666667,20.29875,1.162325774
"LINUM TENUIFOLIUM",13.8034,330.2972,19.64341913,1.1935
"LINUM USITATISSIMUM",34.82323131,191.2632825,46.33222222,2.5564769
"LOLIUM MULTIFLORUM",27.28423351,236.951672,21.80833333,2.207754569
"LOLIUM PERENNE",25.84059888,224.7029615,27.10214286,3.211599395
"LOLIUM RIGIDUM",26.43222222,230,20.39333333,1.93
"LONICERA PERICLYMENUM",14.17576923,289.4736842,22.532,1.763980239
"LONICERA XYLOSTEUM",24.1075,259.0832864,23.743375,1.367
"LOTUS ANGUSTISSIMUS",31.6,230,26.65,1.25
"LOTUS CORNICULATUS",23.50272918,215.1770033,34.91457389,1.588446198
"LUZULA CAMPESTRIS",25.98456953,236.6519718,23.62777778,1.097462629
"LUZULA PILOSA",25.63166667,250,18.64375,4.266666667
"LUZULA SYLVATICA",16.83,292,18.75,1.95
"LYCOPODIUM ANNOTINUM",18.14,375,10.00615385,1.179935015
"LYCOPODIUM CLAVATUM",21.79,379.555,8.7125,0.836428571
"LYCOPUS EUROPAEUS",24.186,101.25,23.016,1.691466517
"LYSIMACHIA EUROPAEA",37.564375,273.2671429,19.68375,1.540057404
"LYSIMACHIA MARITIMA",16.375,170,19.22875,1.13
"LYSIMACHIA NUMMULARIA",28.75666667,225.0916667,17.1,2.56
"LYSIMACHIA TENELLA",34.1725,130,7.04,0.68
"LYSIMACHIA VULGARIS",26.83826087,222.55,25.459,2.177339949
"LYTHRUM SALICARIA",17.80125,290.0405263,22.26375,1.500383916
"MAIANTHEMUM BIFOLIUM",33.052,237.43,32.575,3.166666667
"MALUS SYLVESTRIS",12.439375,374.1071429,21.71076923,1.428085539
"MALVA SYLVESTRIS",22.57333333,170.005,28.9,1.6
"MEDICAGO LUPULINA",30.42526874,227.1725432,36.76,1.460156162
"MEDICAGO MINIMA",26.2468254,255.1777778,41.68066667,1.646666667
"MEDICAGO SATIVA",21.79931034,241.2380952,38.101875,2.429107239
"MELAMPYRUM PRATENSE",27.05428571,163.6053187,21.12078994,2.818
"MELAMPYRUM SYLVATICUM",28.47555556,153.245,23.00466667,2.137494733
"MELICA NUTANS",22.41666667,394.2857143,24.8,1.7
"MELILOTUS ALBUS",22.21636364,224.8275862,45.55333333,1.221
"MELILOTUS OFFICINALIS",18.46,222.5,34.8,1.56
"MENTHA AQUATICA",23.94571429,183.2176923,16.78909091,1.304551845
"MENTHA LONGIFOLIA",32.11,190.3375,28.634,3.464053659
"MENYANTHES TRIFOLIATA",23.71,191.1666667,26.31333333,3.184949951
"MERCURIALIS PERENNIS",26.34375,222.25,32.64615385,2.741666667
"MEUM ATHAMANTICUM",13.15619931,239.1178195,25.86917197,1.607692308
"MILIUM EFFUSUM",32.99833333,248,24.48181818,1.825
"MINUARTIA VERNA",20.3325,248.885,18.1,2.2
"MOLINIA CAERULEA",19.7713871,354.372012,14.52555556,0.835165395
"MUSCARI NEGLECTUM",19.352,108.839,29.08700591,3.4275
"MYOSOTIS RAMOSISSIMA",24.37954545,197.9912727,13.98928571,2.084290476
"MYRICA GALE",11.5625,340,25.5,0.9
"MYRRHIS ODORATA",38.62111111,234,51.5,4.3
"NARCISSUS POETICUS",18.675,200.044,21.1,2.499
"NARCISSUS PSEUDONARCISSUS",19.3,133.75,35.5,2.5
"NARDUS STRICTA",11.495,412.2788889,15.84735294,1.308314436
"NARTHECIUM OSSIFRAGUM",25.08333333,150,24.7,6.2
"NICOTIANA GLAUCA",12.43166667,160,40.17,2.145024323
"NOCCAEA MONTANA",19.39583333,145,28.19,2.666391684
"NYMPHAEA ALBA",14.7,180.5,28,4.2
"ODONTITES VERNUS",18.79079299,174.9292821,20.76666667,1.751443329
"ONOBRYCHIS VICIIFOLIA",14.19129167,294.3983292,27.66923077,1.535923077
"ONONIS CRISTATA",20.51,212.28,33.86,1.79
"ONONIS SPINOSA",24.46722222,216,41.2475,2.077034172
"ONONIS STRIATA",16.46366667,272.4625167,23.98585616,2.333888889
"ORIGANUM VULGARE",22.93388889,231.5,21.41111111,1.7
"ORNITHOGALUM GUSSONEI",16.37163636,140.1781818,32.97727273,3.483636364
"ORNITHOPUS COMPRESSUS",32.745,215,32.46,1.292
"ORTHILIA SECUNDA",17.15545455,371.2737132,14.8497136,3.483333333
"OXALIS ACETOSELLA",61.37615385,127.36,27.43333333,3.2125
"OXYRIA DIGYNA",25.85666667,90,37.844,3.6
"OXYTROPIS CAMPESTRIS",12.7075,211.955,32.955,2.21
"PARAPHOLIS FILIFORMIS",19.80681095,345.8890412,18.97889674,0.894373402
"PARAPHOLIS INCURVA",15.02721476,320.2294011,19.62024413,2.599565933
"PARENTUCELLIA VISCOSA",24.21,165,20.88,1.7325
"PARIS QUADRIFOLIA",35.00333333,173,29.6,3.9
"PARNASSIA PALUSTRIS",23.60095238,158.5645455,16.98333333,1.089587692
"PARTHENOCISSUS INSERTA",19.835,218.625,20.7,3.55
"PEDICULARIS PALUSTRIS",23.822,148,26.53,1.15
"PEDICULARIS ROSTRATOSPICATA",14.33,207.78,20.53,1.8
"PERSICARIA BISTORTA",22.20285714,244.5001589,30.86189969,1.749938676
"PERSICARIA HYDROPIPER",39.66833333,214.3636364,23.512,3
"PERSICARIA VIVIPARA",15.67775,235.01841,32.4972973,2.364166667
"PHALARIS ARUNDINACEA",18.99323529,485.7222222,24.84117647,2.250314028
"PHALARIS PARADOXA",26.65,340,28.02,2.134284135
"PHILLYREA LATIFOLIA",7.685217391,249.7916667,15.21384615,0.838895
"PHLEUM ALPINUM",20.73588235,337.3353846,22.51,2.908333333
"PHLEUM PRATENSE",20.621875,335.9329684,19.87435897,2.787789877
"PHRAGMITES AUSTRALIS",13.65,430.309,23.24942857,1.413338234
"PHYTEUMA ORBICULARE",31.58,215.54,31.17,1.8
"PICEA ABIES",4.337121212,470,12.58152268,1.46448702
"PICEA SITCHENSIS",5.14272,372.0588235,11.65754098,1.338443166
"PICRIS HIERACIOIDES",27.13042843,172.7462971,26.64588235,2.761369121
"PIMPINELLA MAJOR",22.01818182,233.35375,24.918,3.665
"PIMPINELLA SAXIFRAGA",16.22861707,268.5779517,24.94290123,2.175069945
"PINUS SYLVESTRIS",4.875869565,333.962963,13.17649462,1.335695938
"PLANTAGO ALPINA",14.964,170.97,19.175,1.5025
"PLANTAGO CORONOPUS",15.85077528,106.6360334,14.10833334,1.352
"PLANTAGO LAGOPUS",15.75225747,147.8164925,22.05041289,1.482349734
"PLANTAGO LANCEOLATA",18.99706518,168.9139347,21.9550855,2.093267907
"PLANTAGO MAJOR",19.68981818,167.375,19.69166667,1.92
"PLANTAGO MARITIMA",9.972142857,113.0800166,21.89021955,0.894
"POA ALPINA",17.065,282.0375,15.93,1.825
"POA ANNUA",36.80454545,229.5509091,36.0725,4.371115597
"POA BULBOSA",27.3862,264.3814167,21.24678571,2.710795334
"POA CHAIXII",21.565,347.51,18.6575,1.8
"POA COMPRESSA",18.29583333,319.1333333,13.67,1.519586803
"POA NEMORALIS",33.51526316,313.7438889,19.0272,2.071428571
"POA PALUSTRIS",19.60769231,342.65,13.98,1.615
"POA PRATENSIS",18.29202726,332.2395237,19.83651488,2.479370337
"POA TRIVIALIS",34.01670627,254.4286293,27.59934829,3.367132397
"POLYGALA CALCAREA",19.345,198.288,23.35,1.69
"POLYGALA MONSPELIACA",20.16832944,185.0869957,28.75919759,1.181688329
"POLYGONATUM MULTIFLORUM",43.84,144.06,30,2.1
"POLYGONATUM ODORATUM",28.93833333,186.245,28.94222222,3.58604306
"POLYGONATUM VERTICILLATUM",42.23,145.01,34.45,1.75
"POLYGONUM AVICULARE",27.45259259,213,32.894,2.269787404
"POPULUS NIGRA",10.86090909,303.85,21.99777778,1.872509217
"POPULUS TREMULA",14.83346154,383.8953846,26.232,2.004151689
"PORTULACA OLERACEA",14.69642857,90.382,19.29,1.809188314
"POTAMOGETON ALPINUS",77.1425,167.084,36.765,1.865181827
"POTAMOGETON CRISPUS",60.99,146.3333333,28.5,1.626666667
"POTAMOGETON PERFOLIATUS",110.27,184.56,46.7,3.22
"POTENTILLA ANSERINA",20.014375,225,25.64210526,2.977478626
"POTENTILLA AUREA",21.53714286,238.3125,27.94333333,1.81
"POTENTILLA GRANDIFLORA",11.97,281.4325,22.1,1.199
"POTENTILLA NEUMANNIANA",12.03127174,343.4293049,20.08671875,1.690664286
"POTENTILLA PALUSTRIS",18.4025,254.5133333,13.36,1.517913063
"POTENTILLA PROSTRATA",16.49666667,320,25.735,2.19
"POTENTILLA RECTA",17.08730769,312.3542857,14.4,2.45
"POTENTILLA REPTANS",23.96028571,241.9946154,26.812,3.301673174
"PRENANTHES PURPUREA",65.86,165.4397451,34.26622255,2
"PRIMULA ELATIOR",24.398,137.2075,23.39833333,1.9
"PRIMULA FARINOSA",22.974,172.105,21.92666667,4.19
"PRUNELLA VULGARIS",29.90473684,182.96,20.09444444,3.12925
"PRUNUS AVIUM",18.50909091,300,20.53833333,1.602666667
"PRUNUS LAUROCERASUS",6.777125,353.3661972,14.99263158,1.749915631
"PRUNUS MAHALEB",15.01888889,286.689,20.24333333,2.06
"PRUNUS PADUS",21.27125,328.8744444,21.06,1.846872852
"PRUNUS SEROTINA",17.17588235,316.6666667,25.39162162,2.071125953
"PRUNUS SPINOSA",14.38154217,336.2933478,26.59383127,2.254364215
"PTERIDIUM AQUILINUM",15.66590909,562,23.125,1.2155
"PUCCINELLIA DISTANS",29.29333333,179.6,15.265,0.97
"PULMONARIA ANGUSTIFOLIA",19.995,151.09,25.25333333,1.855
"PULMONARIA OFFICINALIS",30.034,110,17.3,3.94
"PULSATILLA ALPINA",13.40333333,288.45,31.805,2.05
"PYROLA ROTUNDIFOLIA",18.70666667,247.525,13.33333333,1.4
"PYRUS SPINOSA",9.12,440,16.7225,1.2025
"QUERCUS COCCIFERA",5.24375,490,12.376,0.8075
"QUERCUS ILEX",5.975245283,382.4105405,13.92203196,0.866224007
"QUERCUS PETRAEA",13.58264,387.1014493,21.33033486,1.325513439
"QUERCUS PUBESCENS",10.75125,442.2222222,18.17705882,1.259695652
"QUERCUS ROBUR",13.725,383.7142857,21.94032746,1.835650203
"QUERCUS RUBRA",14.89921875,392.5,21.08047619,1.627355636
"RANUNCULUS",29.04,250,30.235,4.13
"RANUNCULUS ACRIS",20.96605443,203.8333465,24.87660999,2.575136251
"RANUNCULUS BULBOSUS",19.44641741,184.6901263,28.01966667,2.279812286
"RANUNCULUS FICARIA",32.64266667,110.8333333,29.6375,4.433333333
"RANUNCULUS GRAMINEUS",12.88967778,303.2054111,21.98751079,1.89124
"RANUNCULUS MONTANUS",19.06666667,178.7,27.6,1.93
"RANUNCULUS PENICILLATUS",37.825,110,43.5,4.01
"RANUNCULUS REPENS",24.48909091,169.4535,23.69461538,2.994998135
"REYNOUTRIA JAPONICA",16.81625,261,23.01,1.878389073
"RHAMNUS ALPINA",21.555,272.4347488,27.9183178,1.736666667
"RHAMNUS CATHARTICA",17.079,306.25,27.535,1.699535795
"RHINANTHUS ALECTOROLOPHUS",19.3395,210.2386,28.38333333,2.44675
"RHINANTHUS MINOR",19.93278829,169.0267833,36.46465186,8.955106621
"RHYNCHOSPORA ALBA",16.68,331.695,13.09,0.59091
"RIBES NIGRUM",16.333125,339.5,18.4625,1.802827941
"RIBES RUBRUM",23.79777778,264.6125,23.42,1.325832208
"RIBES UVA-CRISPA",16.58923077,267.142,22.005625,1.753138709
"ROBINIA PSEUDOACACIA",20.49783784,326,35.64625,1.641226825
"ROEGNERIA CANINA",27.84666667,305,38,2.2
"ROSA ARVENSIS",22.22745763,338.6153846,23.16166667,2.099665051
"ROSA CANINA",14.66266667,345,25.26,2.926666667
"RUBIA PEREGRINA",14.91208333,212.1153846,15.98714286,1.866666667
"RUBUS",22.78848485,343.8461538,21.75956522,1.4
"RUBUS CAESIUS",23.2878125,367,20.94041667,1.689703894
"RUBUS FRUTICOSUS",15.70881579,347.3653846,25.28176471,1.846654435
"RUBUS IDAEUS",22.08829268,359.4208,23.78705882,2.14
"RUBUS PRUINOSUS",19.70222222,280,17.92,1.900718853
"RUBUS SAXATILIS",27.19235294,328.2857143,19.31,4.441007849
"RUMEX ACETOSA",27.89212751,115.2429686,35.43572917,3.511776558
"RUMEX ACETOSELLA",22.18534483,120.9490323,30.10529412,2.386003914
"RUMEX CRISPUS",19.47192308,147.3333333,29.75333333,3.538614959
"RUMEX OBTUSIFOLIUS",27.41731956,154.2965476,36.122,4.138255138
"SAGINA PROCUMBENS",19.72142857,184,15.97,2.4405
"SALIX ALBA",11.86285714,295.3375,25.63,2.492531973
"SALIX CAPREA",14.45739726,333.2363636,25.47421053,2.021086749
"SALIX CINEREA",11.305,430.3875,19.83166667,1.481610666
"SALIX DAPHNOIDES",11.13,326.8918124,23.889075,1.55
"SALIX GLAUCOSERICEA",11.322,360,23.0225,2.604166667
"SALIX HERBACEA",14.71928571,423.6100493,25.0365,2.092666667
"SALIX LAPPONUM",11.39454545,365,27.1285,1.716406403
"SALIX PENTANDRA",17.735,249.795,29.33,1.68
"SALIX PHYLICIFOLIA",11.2825,360,24.3108,1.451910401
"SALIX REPENS",11.94206897,389.10875,17,0.668090257
"SALIX RETICULATA",9.255,373.5920226,18.21818182,0.976666667
"SALIX TRIANDRA",12.48875,388.66,25.185,2.829625041
"SALSOLA KALI",5.247857143,95,33.194,2.654827921
"SALVIA PRATENSIS",15.8858125,199.4761538,24.62333333,1.771136364
"SAMBUCUS NIGRA",20.1384,244.7323944,34.14285714,2.638919954
"SAMBUCUS RACEMOSA",22.34333333,175.0375,53.26666667,2.8
"SAMOLUS VALERANDI",23.385,169.605,20.28235294,1.750183183
"SANGUISORBA MINOR",17.68934781,294.9453574,21.98457317,1.779290615
"SANGUISORBA OFFICINALIS",22.69705882,269.21,20.794,1.52
"SAUSSUREA ALPINA",16.95333333,193.3333333,19.54,1.227555316
"SCABIOSA COLUMBARIA",17.75701769,181.2544449,21.54833334,1.678823237
"SCHOENOPLECTUS LACUSTRIS",14.77833333,156.6666667,17,0.3
"SCHOENUS NIGRICANS",4.6825,381.2683333,15.1875,1.102066543
"SCLERANTHUS ANNUUS",23.85507692,260.6895385,18.5125,1.25
"SCOLYMUS MACULATUS",34.74,70,25.9575,6.585406869
"SCORPIURUS MURICATUS",13.64443003,140.0672362,34.04679775,0.887851669
"SCORZONEROIDES AUTUMNALIS",26.23071429,151.6592593,20.54727273,2.784
"SEDUM SEDIFORME",5,164.5,4.93,1.56
"SENECIO DORONICUM",10.58,135.91,22.27,1.41
"SENECIO VULGARIS",30.16041667,82,38.615,1.9
"SESELI MONTANUM",10.98330536,274.303952,20.67112086,1.762
"SESLERIA CAERULEA",16.36,366.4250786,18.54666667,0.9225
"SETARIA ITALICA",21.805,208.185,15,1.565
"SETARIA PARVIFLORA",14.1875,280,18.4,4.6
"SETARIA VIRIDIS",31.92,270,23.18,2.33
"SHERARDIA ARVENSIS",21.45758716,197.8669548,21.14170587,1.895605313
"SILENE ACAULIS",17.70666667,180,15,2.2
"SILENE DIOICA",35.40647059,111,30.57222222,4
"SILENE FLOS-CUCULI",26.39142857,135.7142857,15.55,1.78
"SILENE GALLICA",26.625,157.33,15.64,2.52
"SILENE ITALICA",17.82,210,19.18,1.63
"SILENE VULGARIS",23.43458333,152.7588282,27.41349253,2.25
"SOLANUM DULCAMARA",36.454125,180.6909524,39.33285714,3.039746253
"SOLIDAGO CANADENSIS",16.31605769,288.9768977,16.79428571,2.55
"SOLIDAGO GIGANTEA",16.76411765,316.4615385,12.08,2
"SOLIDAGO VIRGAUREA",23.65642857,238.7802733,27.37246537,5.4
"SONCHUS BULBOSUS",28.53758133,136.1372456,19.77163106,1.519206614
"SONCHUS OLERACEUS",32.80315789,116.75,34.9,3.46
"SORBUS ARIA",12.72363636,327.1276331,18.78541023,5.71
"SORBUS AUCUPARIA",14.58464646,347.6696079,22.57695933,1.785225536
"SORBUS INTERMEDIA",13.328,383.3333333,12.7,4.33
"SORGHUM HALEPENSE",17.962,380,22.205,1.96151707
"SPARGANIUM ANGUSTIFOLIUM",36.3,140,23.18,2.356976166
"STACHYS OFFICINALIS",18.42472664,202.3958169,23.44736673,2.759982054
"STACHYS SYLVATICA",41.18181818,203.5,26.22333333,4.2
"STELLARIA GRAMINEA",30.04555196,149.3512009,32.53363636,3.296610833
"STELLARIA HOLOSTEA",27.71466667,176.25,25.01111111,5.078444563
"STELLARIA MEDIA",42.09162128,126.3728509,28.71055556,4.165208693
"STIPA CAPILLATA",7.56,634.165,16.03769231,1.215201905
"STIPA PENNATA",5.857179012,548.6972919,17.85665346,1.413888889
"STRATIOTES ALOIDES",54.03,81.19,21,3.9
"SUCCISA PRATENSIS",16.81766123,189.8294058,14.95333333,1.138896566
"SYMPHORICARPOS ALBUS",22.24166667,355,14.53333333,1.95
"SYMPHYOTRICHUM LANCEOLATUM",19.88444444,257.9090909,24.91625,1.966666667
"SYRINGA VULGARIS",13.56875,322.905,19.41,1.222
"TAENIATHERUM CAPUT-MEDUSAE",28.81,340,13.27666667,1.285
"TANACETUM CORYMBOSUM",20.96333333,198.264,14.69,1.88
"TANACETUM VULGARE",19.4996,233.5555556,22.63642857,3.825519928
"TARAXACUM ALPINUM",25.02,159.4,25.355,1.74
"TARAXACUM CAMPYLODES",25.72390539,160.0252369,27.46488095,3.658277889
"TARAXACUM LAEVIGATUM",34.05695,167.28715,25.17,1.98125
"TAXUS BACCATA",7.09957265,355.8217822,22.08705882,1.769576657
"TEUCRIUM CHAMAEDRYS",13.21323118,320.3041529,18.25981514,0.960833333
"TEUCRIUM MONTANUM",7.158611111,353.8805556,12.26765623,1.14375
"TEUCRIUM POLIUM",13.83666667,352.1993333,16.026,1.068
"THALICTRUM ALPINUM",12.77,371.5328571,18.87,1.47
"THALICTRUM MINUS",20.581,282.1042857,24.525,2.479333333
"THYMUS",19.78340575,263.4274882,20.36444445,1.588907041
"THYMUS POLYTRICHUS",15.90755102,292.173913,16.67727273,1.791576688
"THYMUS SERPYLLUM",9.665538462,322.4563846,13.44545455,0.996136364
"THYMUS VULGARIS",11.87230769,329.9,14.18333333,0.6
"TILIA PLATYPHYLLOS",26.595,203.575,30,2.39
"TOFIELDIA PUSILLA",16.4025,284,15.58,1.549166667
"TOLPIS BARBATA",31.61666667,116.6666667,21.45333333,1.868
"TOLPIS STATICIFOLIA",27.2,114.44,23.68,2.07
"TORDYLIUM MAXIMUM",27.84666667,247,19.8,2.98
"TORILIS JAPONICA",25.80833333,270.45,23.05,4.24
"TRAGOPOGON DUBIUS",21.92666667,213.28,26.31,4.271826626
"TRAGOPOGON PRATENSIS",22.00074074,185.4595455,22.9925,1.7055
"TRICHOPHORUM CESPITOSUM",7.78,270,20.24,1.1
"TRIFOLIUM ALPESTRE",12.562,350.7785714,25,0.846
"TRIFOLIUM ALPINUM",18.246,291.77,29.37925397,1.174550264
"TRIFOLIUM ANGUSTIFOLIUM",19.786875,267.4545455,32.85111111,1.525
"TRIFOLIUM ARVENSE",18.85684211,341.11,25.84,1.146666667
"TRIFOLIUM BOCCONEI",24.57,235,25.055,0.927
"TRIFOLIUM CAMPESTRE",29.49305263,244.4683571,38.6500726,2.0546
"TRIFOLIUM CHERLERI",24.39,260,25.16,0.74996
"TRIFOLIUM DUBIUM",25.9165,197.25,33.31,1.548321024
"TRIFOLIUM HIRTUM",17.91,250,24.7775,1.3725
"TRIFOLIUM MONTANUM",20,255.56,34.445,1.74
"TRIFOLIUM OCHROLEUCON",26.38,220,27.58666667,1.253333333
"TRIFOLIUM PRATENSE",22.99031084,244.5824979,40.77628353,2.094326994
"TRIFOLIUM PURPUREUM",26.41,180,43.85,2.757421008
"TRIFOLIUM REPENS",29.174239,201.2981839,41.7627294,2.700180114
"TRIFOLIUM SCABRUM",19.078,301.455,40.15170705,3.0725
"TRIFOLIUM SUBTERRANEUM",27.19597841,161.8725085,37.34833334,1.75
"TRIGLOCHIN MARITIMUM",11.48,126.6666667,35.35,2.715
"TRISETUM BAREGENSE",22.364,316.7714286,19.0625,1.581
"TRISETUM FLAVESCENS",23.11585004,285.2895133,28.91277778,2.252203987
"TRITICUM AESTIVUM",28.764375,227.38,38.55333333,0.34
"TROLLIUS EUROPAEUS",21.41826087,205.9655556,22.92615385,1.57667528
"TUSSILAGO FARFARA",17.21352941,162,25.40666667,2.2
"TYPHA ANGUSTIFOLIA",6.285,265.555,15.1,1.425
"TYPHA LATIFOLIA",11.772,196.0266667,13.57380952,1.7065
"ULEX EUROPAEUS",9.479655172,289.8545455,31.04090909,2.52761507
"ULEX GALLII",6.553214286,367.6923077,23.985,1.676638523
"ULMUS GLABRA",13.98932432,354.1578947,22.066,1.763892758
"ULMUS LAEVIS",32.13,213.665,14.7,1.117337335
"ULMUS MINOR",15.103125,241.7125,26.960625,1.694110109
"UMBILICUS RUPESTRIS",31.8175,44,16.7,1
"URTICA DIOICA",28.79534483,205.493629,45.03665892,4.429077172
"UTRICULARIA VULGARIS",79.4725,50,23.18,1.421702462
"VACCINIUM MYRTILLUS",18.56818182,358.877234,17.77979592,1.370710171
"VACCINIUM OXYCOCCOS",9.895454545,357.3688235,14.312,1.002063228
"VACCINIUM ULIGINOSUM",14.20181818,376.6897258,19.97116692,1.059462459
"VACCINIUM VITIS-IDAEA",7.782803738,385.6555132,10.4281453,1.093690672
"VERBASCUM THAPSUS",13.91346154,204.05,22.3,2.539136667
"VERONICA ARVENSIS",25.33953846,180.1204167,17.69890769,2.367230769
"VERONICA CHAMAEDRYS",30.11038025,229.4423727,22.569,2.244625014
"VERONICA OFFICINALIS",26.256,324.2857143,16.975,4.975
"VERONICA PERSICA",36.40538462,142.8,23.33333333,2.35
"VIBURNUM OPULUS",16.48966102,329.1891892,23.506875,1.544739071
"VIBURNUM TINUS",7.793243243,391.9354839,12.26545455,1.316604209
"VICIA CRACCA",23.95446273,230.9421271,43.39594763,2.611014954
"VICIA HYBRIDA",31.8,184.6666667,53.7,2.71
"VICIA SATIVA",23.96844444,246.4301667,47.01499726,2.859583333
"VICIA SEPIUM",38.58533333,303.985,48.305,3.33
"VICIA TETRASPERMA",29.36446154,264.8533333,34.76848757,2.83
"VICIA VILLOSA",25.704,160.975,29.6,1
"VINCETOXICUM HIRUNDINARIA",47.99916667,166.527,38.375,3.7
"VIOLA MIRABILIS",47.462,163.7325,23.9,2.8
"VIOLA REICHENBACHIANA",30.005,220.0575,23.5,2.45
"VIOLA RIVINIANA",27.82230769,243.2,24.84,2.4
"VIOLA TRICOLOR",29.78388889,162.54,26.36333333,3.069
"VITIS VULPINA",36.35333333,217.1428571,25.572,2.8
"VULPIA CILIATA",34.7625,320,19.09,2.6
"VULPIA MYUROS",21.66933377,276.2695544,23.91083333,2.422285714
"XANTHIUM STRUMARIUM",17.9475,196.7583333,28.51,2.265145315
"ZEA MAYS",25.62,190,20.295,3.338751859
